feature,category
min_sequence_identity,sequence
closest,sequence
WGD,sequence
family_size,sequence
cds_length_ratio,sequence
shared_domains,sequence
has_pombe_ortholog,sequence
has_essential_pombe_ortholog,sequence
has_cerevisiae_ortholog,sequence
has_essential_cerevisiae_ortholog,sequence
conservation_score,sequence
mean_age,sequence
either_in_complex,neighborhood
mean_complex_essentiality,neighborhood
colocalisation,neighborhood
interact,neighborhood
n_total_ppi,neighborhood
fet_ppi_overlap,neighborhood
shared_ppi_mean_essentiality,neighborhood
gtex_spearman_corr,expression
gtex_min_mean_expr,expression
gtex_max_mean_expr,expression
